OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
isrnort120721E	9	lGOPR3284.MP4	29107	rGOPR3641.MP4	30426	8.09336	Time seabed	2.62957	-1513.39595	-556.56844	-3926.53163	5.65592	2.36682	14.96853	0.06153	4244.73631	22.41074	Serranidae	Cephalopholis	argus	6396	1	AD	Passing			
isrnort120721E	11	lGP013284.MP4	8571	rGP013641.MP4	9890	11.25875	Time seabed	5.79496	125.34292	-130.38713	-981.24978	0.33888	0.33426	0.97717	0.19094	997.77893	10.61893	Muraenidae	Gymnothorax	johnsoni	7882	1	AD	Passing			
isrnort120721E	58	lGP053284.MP4	100	rGP053641.MP4	1419	44.40547	Time seabed	38.94168	-663.53552	352.84822	-3773.55574	2.54472	1.74294	13.40574	0.25393	3847.66217	11.15195	Mullidae	Parupeneus	forsskali	10994	1	AD	Passing			
isrnort120721E	59	lGP053284.MP4	100	rGP053641.MP4	1419	44.40547	Time seabed	38.94168	605.31329	-106.37314	-2666.93631	1.67240	0.85809	6.82303	1.39011	2736.83552	13.02105	Mullidae	Parupeneus	forsskali	10994	25	AD	Passing			
isrnort120721E	68	lGP063284.MP4	20085	rGP063641.MP4	21404	58.83795	Time seabed	53.37415	-1585.62335	728.67085	-3339.32781	5.02427	2.61437	10.93935	0.27077	3767.79416	27.49028	Ostraciidae	Tetrosomus	gibbosus	8129	1	AD	Passing			
isrnort120721E	73	lGP073284.MP4	10510	rGP073641.MP4	11829	65.05110	Time seabed	59.58731	1727.85942	283.84888	-3731.88077	6.21270	1.59925	13.79723	4.64767	4122.25696	25.09814	Labridae	Paracheilinus	octotaenia	4840	9	AD	Passing			
isrnort120721F	14	lGP084894.MP4	28522	rGP088396.MP4	29410	78.93497	Time extra	12.21276	4.53670	-269.92529	-773.49020	0.26381	0.32047	0.62068	0.20042	819.24803	19.64355	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
isrnort120721F	16	lGP094894.MP4	12297	rGP098396.MP4	13185	83.29905	Time extra	16.57684	40.63370	-185.55232	-781.37013	0.26757	0.28704	0.63154	0.87965	804.12688	14.05796	Muraenidae	Gymnothorax	griseus	8058	1	AD	Passing			
isrnort120721H	6	lGP014895.MP4	13652	rGP018397.MP4	14703	12.67155	Time seabed	4.50061	-491.20195	-326.81414	-1076.27983	0.57481	0.48336	1.17817	0.11088	1227.38140	28.95577	Muraenidae	Gymnothorax	angusticauda	27319	2	AD	Passing			
isrnort120721H	10	lGP024895.MP4	11267	rGP028397.MP4	12318	20.88392	Time seabed	12.71298	-29.47612	-130.88708	-825.89147	0.28092	0.28382	0.70414	0.75300	836.71798	9.62117	Muraenidae	Gymnothorax	griseus	8058	1	AD	Passing			
isrnort120721H	34	lGP064895.MP4	2010	rGP068397.MP4	3061	53.81209	Time seabed	45.64115	-26.29549	-133.72432	-834.70248	0.28339	0.28744	0.71805	0.38711	845.75521	9.66941	Lethrinidae	Lethrinus	variegatus	1850	6	AD	Passing			
isrnort120721H	35	lGP064895.MP4	12965	rGP068397.MP4	14016	56.85819	Time seabed	48.68725	767.67516	-440.69877	-1522.10418	1.11165	0.76979	2.15866	2.13450	1760.77872	30.38287	Diodontidae	Cyclichthys	spilostylus	10305	1	AD	Passing			
isrnort120721I	4	lGP043286.MP4	14084	rGP043642.MP4	14837	39.41827	Time seabed	34.14578	-10.75534	-109.70907	-803.25260	0.27485	0.27156	0.67050	1.52312	810.78141	8.05460	Lethrinidae	Lethrinus	nebulosus	1846	3	AD	Passing			
isrnort120721I	5	lGP043286.MP4	26928	rGP043642.MP4	27681	42.98961	Time seabed	37.71712	-9.16768	-111.52688	-818.32030	0.27914	0.27670	0.69377	0.47485	825.93607	8.02745	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
isrnort120721I	6	lGP063286.MP4	14800	rGP063642.MP4	15553	57.36842	Time seabed	52.09593	1006.56470	-118.91104	-1844.58507	1.82954	0.61838	3.50444	1.30313	2104.71053	28.81720	Diodontidae	Cyclichthys	spilostylus	10305	1	AD	Passing			
isrnort120721I	7	lGP063286.MP4	25579	rGP063642.MP4	26332	60.36558	Time seabed	55.09309	2329.36826	1783.30622	-6028.79148	13.34765	10.64042	35.12820	6.34533	6704.65990	25.80151	Caesionidae	Caesio	suevica	922	10	AD	Passing			
isrnort130520A	4	lGP023217.MP4	12535	rGP023579.MP4	10843	21.23649	Time seabed	18.22209	-75.99914	-156.22224	-1011.73164	0.33869	0.35145	1.02673	1.47863	1026.53893	10.02591	Muraenidae	Gymnothorax	angusticauda	27319	5	AD	Passing			
isrnort130520A	7	lGP033217.MP4	12667	rGP033579.MP4	10975	30.14873	Time seabed	27.13433	50.14294	-98.66998	-2903.51926	0.90219	0.91595	7.87792	0.76852	2905.62802	2.46624	Lethrinidae	Lethrinus	variegatus	1850	2	AD	Passing			
isrnort130520A	16	lGP043217.MP4	20545	rGP043579.MP4	18853	41.21478	Time seabed	38.20038	-84.79674	-136.07177	-897.84690	0.30571	0.30750	0.82161	0.90742	912.04993	10.39179	Muraenidae	Gymnothorax	griseus	8058	5	AD	Passing			
isrnort130520B	3	lGP024837.MP4	7590	rGP028335.MP4	9045	19.86151	Time seabed	14.95133	979.52272	-532.92950	-2429.01888	2.24906	1.39872	5.68034	6.63273	2672.75351	24.84592	Muraenidae	Gymnothorax	angusticauda	27319	2	AD	Passing			
isrnort130520B	8	lGP044837.MP4	12171	rGP048335.MP4	13626	38.88635	Time seabed	33.97616	118.33320	-300.17865	-1028.87857	0.35190	0.43480	1.05781	0.56237	1078.28618	17.77202	Muraenidae	Gymnothorax	griseus	8058	2	AD	Passing			
isrnort130520B	11	lGP074837.MP4	1431	rGP078335.MP4	2886	62.52663	Time seabed	57.61645	2.79358	-139.47079	-880.90004	0.29457	0.30220	0.78730	0.85565	891.87711	9.38529	Balistidae	Abalistes	stellatus	58334	1	AD	Attracted			
isrnort130520B	14	lGP094837.MP4	15122	rGP098335.MP4	16577	84.08456	Time extra	18.90305	2.27500	-136.96783	-879.13736	0.29405	0.30085	0.78434	0.28342	889.74595	9.24330	Lethrinidae	Lethrinus	variegatus	1850	2	AD	Passing			
isrnort130520C	22	lGP063219.MP4	18493	rGP063580.MP4	22578	58.39528	Time seabed	52.46602	-7.76575	-128.14496	-609.79669	0.21872	0.21434	0.40582	0.47952	623.16406	12.20138	Scorpaenidae	Pterois	miles	7797	1	AD	Passing			
isrnort130520D	0	lGP014838.MP4	13242	rGP018337.MP4	14551	12.55755	Time seabed	4.91602	404.55013	-854.45438	-8549.13445	4.04764	6.75067	67.05028	0.52777	8601.24717	6.66189	Mullidae	Parupeneus	heptacanthus	5991	1	AD	Passing			
