OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
israchz040221F	9	0	1310.85834	1207.47664	1188.85205	1193.27103
israchz040221F	9	1	1461.23820	1201.79439	1353.41868	1198.95327
israchz040221F	10	0	1886.84155	1413.45794	1228.72718	1446.13084
israchz040221F	10	1	2191.85729	1376.52336	1536.58027	1447.55140
israchz040221G	0	0	2386.21616	1122.24299	329.13326	1130.76636
israchz040221G	1	0	2425.93914	1247.25234	1810.23295	1332.48598
israchz040221G	1	1	2181.92655	1193.27103	1529.33473	1255.77570
israchz040221G	2	0	2093.96852	1252.93458	944.83945	1278.50467
israchz040221G	2	1	2408.91501	1176.22430	1361.93075	1235.88785
israchz040221G	3	0	2099.64323	965.98131	1251.27387	1000.07477
israchz040221H	0	0	2102.48059	1184.74766	607.19412	1190.42991
israchz040221H	1	0	2522.40923	536.97196	1601.73662	586.69159
israchz040221H	1	1	2259.95383	41.19626	1604.57398	9.94393
israchz040221H	2	0	1716.60021	1031.32710	1086.70724	1045.53271
israchz040221H	2	1	1566.22036	872.22430	984.56243	872.22430
israchz040221H	3	0	2125.17943	517.08411	1086.70724	536.97196
israchz040221H	4	0	2312.44491	471.62617	1815.90766	522.76636
israchz040221H	5	0	2641.57817	531.28972	2110.99265	579.58879
israchz040221H	6	0	1838.60651	417.64486	1415.84050	423.32710
israchz040221H	7	0	1455.56348	460.26168	1115.08080	446.05607
israchz040221H	8	0	2150.71563	286.95327	1963.45016	295.47664
israchz040221H	9	0	2214.74921	1162.85981	188.68416	1162.19626
israchz040221H	9	1	2547.23610	639.97196	1032.79748	684.71028
israchz040221H	10	0	1060.15110	348.53271	800.13431	363.66355
israchz040221H	10	1	1361.62015	307.33645	1086.70724	332.41121
israchz040221H	11	0	1481.09969	508.56075	1242.76180	514.24299
israchz040221H	11	1	1798.88353	482.99065	1549.19622	497.19626
israchz040221H	12	0	1627.35047	1463.17757	1083.77650	1458.91589
israchz040221H	12	1	1407.45540	1387.88785	898.63903	1362.31776
israchz040221H	13	0	1342.97796	1484.48598	734.48688	1440.44860
israchz040221H	13	1	1613.94544	1453.94393	1005.45435	1446.84112
israchz040221H	14	0	1835.33788	1456.07477	1193.66317	1477.38318
israchz040221H	14	1	2096.37461	1368.71028	1466.75866	1428.37383
israchz040221H	15	0	1739.29906	1397.83178	723.52571	1375.10280
israchz040221H	16	0	1156.16474	1076.90654	552.17524	1037.08411
israchz040221H	16	1	1359.74502	977.46729	796.89717	971.73832
israchz040221H	17	0	2446.50997	1347.82243	1828.08709	1476.67290
israchz040221H	17	1	2188.31060	1303.07477	1596.13326	1379.36449
israchz040221H	18	0	1790.94963	989.06542	1243.02204	1012.61682
israchz040221H	18	1	1581.69465	1026.71028	994.04407	1024.69159
israchz040221H	19	0	1772.17104	885.53271	1059.61700	896.88785
israchz040221H	19	1	1601.22036	1046.05607	805.67366	1032.55140
israchz040221H	20	0	1616.59706	1044.62617	976.13746	1039.28972
israchz040221H	20	1	1784.00105	930.27103	1196.03253	951.21495
israchz040221H	21	0	791.62225	1162.01869	394.39244	1076.78505
israchz040221H	22	0	1733.88458	1510.76636	917.19622	1512.89720
israchz040221H	22	1	2070.82057	1412.03738	1305.91396	1470.28037
israchz040221H	23	0	2479.84890	1153.49533	323.45855	1164.85981
israchz040221H	24	0	1841.93179	903.10280	869.97692	910.06542
israchz040221H	24	1	1529.11333	932.93458	623.83631	917.87850
israchz091121A	0	0	1984.28541	971.95327	2307.05352	1027.87850
israchz091121A	0	1	1919.02623	975.50467	2241.79433	1023.61682
israchz091121A	1	0	2290.67681	971.81308	2452.18468	1035.93458
israchz091121A	1	1	2226.83631	964.71028	2403.24029	1025.99065
israchz091121A	2	0	2485.52361	1070.59813	2570.64428	1164.35514
israchz091121A	2	1	2527.37461	1064.91589	2628.10073	1158.67290
israchz091121A	3	0	1966.30640	976.96262	2118.45855	1027.23364
israchz091121A	3	1	1989.71459	988.32710	2145.41343	1040.01869
israchz091121A	4	0	2045.04302	994.71963	2206.41658	1055.64486
israchz091121A	5	0	2426.64848	1238.87850	2424.52046	1354.50467
israchz091121A	5	1	2601.14586	1264.44860	2585.54040	1390.72897
israchz091121A	6	0	2221.64953	1323.25234	2053.57293	1414.87850
israchz091121A	6	1	2381.25079	1299.10280	2226.65163	1404.93458
israchz091121A	7	0	2162.06506	1288.44860	2061.37566	1372.97196
israchz091121A	7	1	2325.92235	1291.28972	2219.55824	1391.43925
israchz091121A	8	0	2184.76390	1213.15888	2207.46275	1306.91589
israchz091121A	9	0	2309.77650	879.91589	2639.45016	942.16822
israchz091121A	9	1	2222.52781	867.13084	2560.00420	923.70093
israchz091121A	10	0	2094.84680	934.60748	2436.57922	990.46729
israchz091121A	10	1	2043.77440	924.66355	2398.27492	976.26168
israchz091121A	11	0	1987.28541	887.61682	2360.67996	935.08411
israchz091121A	11	1	1922.73557	875.54206	2300.38615	914.48598
israchz091121A	12	0	2256.58237	873.02804	2600.43652	936.07477
israchz091121A	12	1	2190.61385	887.23364	2532.33998	945.30841
israchz091121A	13	0	2143.08814	811.94393	2550.78279	860.07477
israchz091121A	13	1	2094.85310	822.59813	2501.12907	870.01869
israchz091121A	14	0	2234.71773	854.57944	2633.06611	909.90654
israchz091121A	14	1	2166.62120	852.44860	2556.45750	903.51402
israchz091121A	15	0	2178.55509	918.45794	2576.31899	977.42991
israchz091121A	15	1	2106.91186	904.25234	2505.38510	961.09346
israchz091121A	16	0	2135.99475	844.58879	2543.68940	893.41121
israchz091121A	16	1	2051.58342	838.90654	2455.73137	886.30841
israchz091121A	17	0	2260.83841	869.44860	2638.03148	926.79439
israchz091121A	17	1	2181.39244	846.00935	2557.87618	898.38318
israchz091121A	18	0	2225.37146	859.50467	2618.87933	921.82243
israchz091121A	19	0	266.71144	733.00935	695.47534	712.12150
israchz091121A	20	0	1510.74921	579.51402	1837.49633	587.99065
israchz091121A	20	1	1436.26863	551.81308	1765.85310	560.28972
israchz091121A	21	0	1578.13641	637.75701	1874.38195	650.49533
israchz091121A	21	1	1520.67996	615.02804	1818.34418	627.05607
israchz091121A	22	0	1389.45226	715.88785	1674.34837	727.20561
israchz091121A	22	1	1306.45960	688.89720	1592.77440	699.50467
israchz091121A	23	0	1457.54879	700.97196	1877.92865	717.26168
israchz091121A	23	1	1420.66317	695.28972	1838.20567	707.31776
israchz091121A	24	0	1247.84260	139.92523	1486.97377	140.63551
israchz091121A	24	1	1165.55929	80.97196	1402.56243	87.36449
israchz091121A	25	0	1430.39559	785.02804	1730.45121	802.20561
israchz091121A	25	1	1352.36831	782.18692	1651.00525	790.84112
israchz091121A	26	0	1216.17524	718.97196	1575.81532	724.07477
israchz091121A	26	1	1172.90556	700.50467	1539.63903	704.18692
israchz091121A	27	0	1115.11962	660.20561	1440.26758	663.89720
israchz091121A	27	1	1051.98846	649.55140	1390.61385	648.98131
israchz091121A	28	0	995.95068	653.81308	1277.11962	642.58879
israchz091121B	0	0	1883.45226	1031.35514	1873.33473	1083.06542
israchz091121B	0	1	2067.88038	1015.01869	2082.58972	1085.19626
israchz091121B	1	0	317.07450	1209.75701	319.91186	1095.96262
israchz091121B	1	1	193.64953	1229.64486	219.89507	1101.64486
